rank,start,decay_per_day,floor,mean_cohort_accuracy,mean_event_accuracy,delta_vs_50_50_pp,delta_vs_irl_only_pp,delta_vs_online_only_pp
161,0.95,0.05,0.15,84.32672900534385,84.65805973668608,0.2148040494905672,2.1235998229928725,7.954476145070444
162,0.85,0.04,0.25,84.32485647749587,84.68157514116005,0.212931521642588,2.1217272951448933,7.952603617222465
163,0.95,0.05,0.25,84.32180568591545,84.63561220218483,0.20988073006216723,2.1186765035644726,7.949552825642044
164,1.0,0.02,0.2,84.32026395836448,84.55154029046547,0.2083390025111953,2.1171347760135006,7.948011098091072
165,0.8,0.04,0.4,84.31840195022059,84.68563157240328,0.20647699436730704,2.1152727678696124,7.946149089947184
166,0.85,0.04,0.3,84.31799138141166,84.66542401211676,0.20606642555837595,2.1148621990606813,7.945738521138253
167,0.95,0.05,0.3,84.31494058983122,84.61946107314154,0.20301563397794098,2.1118114074802463,7.942687729557818
168,1.0,0.02,0.15,84.3073028113984,84.5426295019263,0.195377855545118,2.1041736290474233,7.935049951124995
169,0.85,0.05,0.4,84.29657078434649,84.66444204913078,0.18464582849320266,2.093441601995508,7.92431792407308
170,1.0,0.02,0.1,84.29013066370963,84.53082365039027,0.1782057078563497,2.087001481358655,7.917877803436227
171,0.85,0.04,0.1,84.28907350554896,84.65985737655625,0.17714854969567284,2.085944323197978,7.91682064527555
172,0.95,0.05,0.1,84.28602271396852,84.61389443758104,0.17409775811523787,2.082893531617543,7.913769853695115
173,0.9,0.01,0.5,84.21868199771212,84.41761752117769,0.10675704185884172,2.015552815361147,7.846429137438719
174,0.9,0.01,0.45,84.21254283736566,84.41339684843949,0.1006178815123775,2.009413655014683,7.8402899770922545
175,0.9,0.01,0.4,84.20976044573553,84.41148395419378,0.09783548988224311,2.0066312633845484,7.83750758546212
176,0.9,0.01,0.35,84.20976044573553,84.41148395419378,0.09783548988224311,2.0066312633845484,7.83750758546212
177,0.9,0.01,0.3,84.20976044573553,84.41148395419378,0.09783548988224311,2.0066312633845484,7.83750758546212
178,0.9,0.01,0.25,84.20976044573553,84.41148395419378,0.09783548988224311,2.0066312633845484,7.83750758546212
179,0.9,0.01,0.2,84.20976044573553,84.41148395419378,0.09783548988224311,2.0066312633845484,7.83750758546212
180,0.9,0.01,0.15,84.20976044573553,84.41148395419378,0.09783548988224311,2.0066312633845484,7.83750758546212
181,0.9,0.01,0.1,84.20976044573553,84.41148395419378,0.09783548988224311,2.0066312633845484,7.83750758546212
182,0.8,0.04,0.35,84.19911241658889,84.58189933972018,0.08718746073560624,1.9959832342379116,7.826859556315483
183,0.8,0.05,0.5,84.19564133510018,84.5852874995609,0.08371637924689423,1.9925121527491996,7.823388474826771
184,0.9,0.05,0.3,84.193646801254,84.55817990324054,0.0817218454007218,1.9905176189030271,7.821393940980599
185,0.85,0.05,0.35,84.17728125071478,84.56070981644768,0.06535629486150185,1.9741520683638072,7.805028390441379
186,0.8,0.05,0.45,84.16749862359181,84.5573987386737,0.05557366773852834,1.9643694412408337,7.795245763318405
187,0.8,0.05,0.4,84.08983353605642,84.48496029993713,-0.022091419796865353,1.88670435370544,7.717580675783012
